number,name,addressStreet,addressParcel
4445,별을쏘는베팅샵,대전 대덕구 덕암로 184,대전 대덕구 평촌동 535-9번지
4446,성원당,대전 유성구 신성로72번길 12,대전 유성구 신성동 142-3
4447,원내복권방,대전 유성구 원내로 35 진잠종합시장,대전 유성구 원내동 228-6
4448,대박로또복권방,대전 중구 보문로 32-5,대전 중구 문창동 361-11번지
4449,드림로또,대전 중구 대둔산로 365-2,대전 중구 산성동 270-7번지
4450,석교복권천국,대전 중구 대종로 212-1,대전 중구 석교동 66-2번지
4451,로또는내운명,대전 중구 대종로 277,대전 중구 부사동 260-11
4452,로또복권방,대전 서구 갈마중로 28,대전 서구 갈마동 345-1번지
4453,대박복권방,대전 서구 갈마로 56,대전 서구 갈마동 378-4번지
4454,복권왕국,대전 서구 동서대로1047번길 2,대전 서구 내동 13-19번지
4455,서우슈퍼,대전 서구 동서대로 976,대전 서구 내동 165번지
4456,씨스페이스 로또명당점,대전 서구 관저로129번길 3,대전 서구 관저동 1089
4457,애니타임로또,대전 유성구 계룡로46번길 85,대전 유성구 구암동 608-20
4458,현암꽃플라워,대전 동구 태전로 167,대전 동구 삼성동 352-12번지
4459,헤레이스복권방로또,대전 동구 우암로 275,대전 동구 가양동 416-5
4460,로또잭팟(금정사),대전 동구 계족로 275,대전 동구 소제동 309-5번지
4461,유연마트,대전 동구 계족로 88,대전 동구 신흥동 11-7번지
4462,금강슈퍼,대전 동구 대전로779번길 39-1,대전 동구 원동 62-11번지
4463,로또대박마트,대전 동구 대전로 248 샘터하우스슈퍼,대전 동구 대성동 267-1
4464,대박로또방,대전 서구 관저동로 88 관저빌딩,대전 서구 관저동 1415
4465,명당로또복권갈마점,대전 서구 신갈마로 225-4,대전 서구 갈마동 261-26
4466,로또6/45,대전 동구 우암로 169,대전 동구 성남동 47-2번지
4467,로또복권벽산블루밍,대전 서구 갈마로 262 맑은아침아파트,대전 서구 내동 2
4468,복권명당,대전 중구 목중로54번길 2,대전 중구 중촌동 21-18번지
4469,노다지복권방,대전 대덕구 신탄진로 211,대전 대덕구 신대동 216-8번지
4470,행복세상,대전 대덕구 중리로 52,대전 대덕구 중리동 385-29번지
4471,노다지복권방,대전 대덕구 계족산로 23,대전 대덕구 중리동 119-7번지
4472,꿈나라복권방,대전 대덕구 동춘당로 83,대전 대덕구 송촌동 476-3번지
4473,대박나는곳행운복권방,대전 대덕구 대화로 35,대전 대덕구 대화동 37-12
4474,노다지복권방,대전 대덕구 대전로 1349,대전 대덕구 읍내동 325-6번지
4475,행운플러스,대전 대덕구 덕암로 214,대전 대덕구 덕암동 53-14
4476,노다지복권방,대전 동구 홍도로 10,대전 동구 홍도동 11-33
4477,천하명당홍명복권방,대전 동구 대전로813번길 1,대전 동구 정동 26번지
4478,노다지복권방,대전 동구 계족로 393,대전 동구 성남동 505-7번지
